epoch,step,train_loss
0,19,3.3062214851379395
1,39,2.4950509071350098
2,59,2.1284611225128174
3,79,2.0108439922332764
4,99,1.9824825525283813
5,119,1.9523710012435913
6,139,1.9243488311767578
7,159,1.8644237518310547
8,179,1.811981201171875
9,199,1.8011375665664673
10,219,1.7599375247955322
11,239,1.7366517782211304
12,259,1.7098968029022217
13,279,1.6885401010513306
14,299,1.6414810419082642
15,319,1.6483356952667236
16,339,1.6339031457901
17,359,1.627718210220337
18,379,1.6168655157089233
19,399,1.5822850465774536
20,419,1.6260712146759033
21,439,1.566190481185913
22,459,1.5469028949737549
23,479,1.5645062923431396
24,499,1.5812320709228516
25,519,1.526806116104126
26,539,1.5292028188705444
27,559,1.5181039571762085
28,579,1.524081826210022
29,599,1.4869070053100586
30,619,1.4983818531036377
31,639,1.5233759880065918
32,659,1.4870494604110718
33,679,1.4742645025253296
34,699,1.4660624265670776
35,719,1.4660608768463135
36,739,1.4724066257476807
37,759,1.4399213790893555
38,779,1.463882327079773
39,799,1.4619344472885132
40,819,1.4476919174194336
41,839,1.449326753616333
42,859,1.4360827207565308
43,879,1.444424033164978
44,899,1.4328123331069946
45,919,1.4174827337265015
46,939,1.3973941802978516
47,959,1.396951675415039
48,979,1.3796170949935913
49,999,1.3666397333145142
50,1019,1.3769514560699463
51,1039,1.3586876392364502
52,1059,1.346708059310913
53,1079,1.3617560863494873
54,1099,1.3678003549575806
55,1119,1.3533767461776733
56,1139,1.3313236236572266
57,1159,1.4235024452209473
58,1179,1.3660858869552612
59,1199,1.3221290111541748
60,1219,1.3426332473754883
61,1239,1.3151718378067017
62,1259,1.3017103672027588
63,1279,1.332571268081665
64,1299,1.3043781518936157
65,1319,1.2823491096496582
66,1339,1.3101041316986084
67,1359,1.3249112367630005
68,1379,1.2872956991195679
69,1399,1.3082764148712158
70,1419,1.28618323802948
71,1439,1.2539788484573364
72,1459,1.262558102607727
73,1479,1.2860300540924072
74,1499,1.3040406703948975
75,1519,1.2694735527038574
76,1539,1.265568733215332
77,1559,1.2689557075500488
78,1579,1.2640353441238403
79,1599,1.252223253250122
80,1619,1.2450538873672485
81,1639,1.27475905418396
82,1659,1.2320997714996338
83,1679,1.25480055809021
84,1699,1.2394702434539795
85,1719,1.2239071130752563
86,1739,1.226401925086975
87,1759,1.2500195503234863
88,1779,1.2644236087799072
89,1799,1.2482051849365234
90,1819,1.2270245552062988
91,1839,1.2240784168243408
92,1859,1.2474524974822998
93,1879,1.2063060998916626
94,1899,1.1846191883087158
95,1919,1.2276697158813477
96,1939,1.2009071111679077
97,1959,1.1817227602005005
98,1979,1.2030012607574463
99,1999,1.1816489696502686
