epoch,step,train_loss
0,19,3.1531755924224854
1,39,2.344650983810425
2,59,2.0661327838897705
3,79,2.00808048248291
4,99,1.9690732955932617
5,119,1.9430954456329346
6,139,1.9054431915283203
7,159,1.7894989252090454
8,179,1.7577226161956787
9,199,1.7175853252410889
10,219,1.6728827953338623
11,239,1.6557098627090454
12,259,1.6632713079452515
13,279,1.5986034870147705
14,299,1.6110308170318604
15,319,1.6340751647949219
16,339,1.5778483152389526
17,359,1.583324670791626
18,379,1.6245555877685547
19,399,1.5639055967330933
20,419,1.5849151611328125
21,439,1.5665256977081299
22,459,1.5423048734664917
23,479,1.5278791189193726
24,499,1.531644344329834
25,519,1.5413858890533447
26,539,1.5167733430862427
27,559,1.5234825611114502
28,579,1.5146491527557373
29,599,1.4982998371124268
30,619,1.492070198059082
31,639,1.4996851682662964
32,659,1.5012847185134888
33,679,1.4941476583480835
34,699,1.4828065633773804
35,719,1.4767683744430542
36,739,1.4366443157196045
37,759,1.4340362548828125
38,779,1.4149903059005737
39,799,1.4378831386566162
40,819,1.4273293018341064
41,839,1.4268724918365479
42,859,1.3844108581542969
43,879,1.4001526832580566
44,899,1.4236563444137573
45,919,1.378021240234375
46,939,1.3840231895446777
47,959,1.4226067066192627
48,979,1.3592371940612793
49,999,1.3640363216400146
50,1019,1.367660641670227
51,1039,1.3632581233978271
52,1059,1.3504045009613037
53,1079,1.3601008653640747
54,1099,1.3403291702270508
55,1119,1.3475126028060913
56,1139,1.3341037034988403
57,1159,1.3180962800979614
58,1179,1.338918924331665
59,1199,1.3344544172286987
60,1219,1.341423749923706
61,1239,1.325529932975769
62,1259,1.3223035335540771
63,1279,1.3094828128814697
64,1299,1.3051540851593018
65,1319,1.2971855401992798
66,1339,1.3064168691635132
67,1359,1.2928142547607422
68,1379,1.2956548929214478
69,1399,1.2959567308425903
70,1419,1.2970519065856934
71,1439,1.2917722463607788
72,1459,1.273517370223999
73,1479,1.2424871921539307
74,1499,1.2784419059753418
75,1519,1.2711970806121826
76,1539,1.266005516052246
77,1559,1.2496416568756104
78,1579,1.2471178770065308
79,1599,1.2272776365280151
80,1619,1.2273118495941162
81,1639,1.2285778522491455
82,1659,1.2543730735778809
83,1679,1.2566633224487305
84,1699,1.1926289796829224
85,1719,1.2365587949752808
86,1739,1.2197301387786865
87,1759,1.196485161781311
88,1779,1.207777500152588
89,1799,1.1957767009735107
90,1819,1.1956102848052979
91,1839,1.2011406421661377
92,1859,1.2135131359100342
93,1879,1.1988542079925537
94,1899,1.1965429782867432
95,1919,1.2059097290039062
96,1939,1.1921937465667725
97,1959,1.145208716392517
98,1979,1.1582239866256714
99,1999,1.1911119222640991
