epoch,step,train_loss
0,19,2.96238374710083
1,39,2.2846791744232178
2,59,2.0729784965515137
3,79,1.9570493698120117
4,99,1.9106448888778687
5,119,1.8957054615020752
6,139,1.8473460674285889
7,159,1.7775232791900635
8,179,1.7229633331298828
9,199,1.7047535181045532
10,219,1.6874109506607056
11,239,1.6783370971679688
12,259,1.643715262413025
13,279,1.6179802417755127
14,299,1.606498122215271
15,319,1.6005741357803345
16,339,1.5744551420211792
17,359,1.5770184993743896
18,379,1.5469564199447632
19,399,1.556205153465271
20,419,1.5184617042541504
21,439,1.5288188457489014
22,459,1.496574878692627
23,479,1.5052452087402344
24,499,1.5038515329360962
25,519,1.4804046154022217
26,539,1.4937498569488525
27,559,1.4376682043075562
28,579,1.4676287174224854
29,599,1.4720145463943481
30,619,1.4530326128005981
31,639,1.4301578998565674
32,659,1.417809009552002
33,679,1.4280797243118286
34,699,1.4050582647323608
35,719,1.3856641054153442
36,739,1.4274864196777344
37,759,1.3954695463180542
38,779,1.3821581602096558
39,799,1.389843225479126
40,819,1.378075122833252
41,839,1.3650199174880981
42,859,1.3923497200012207
43,879,1.3525766134262085
44,899,1.3551957607269287
45,919,1.358216404914856
46,939,1.3687975406646729
47,959,1.348030924797058
48,979,1.3062514066696167
49,999,1.3678568601608276
50,1019,1.340407133102417
51,1039,1.3079421520233154
52,1059,1.2837965488433838
53,1079,1.2917981147766113
54,1099,1.3015410900115967
55,1119,1.2813321352005005
56,1139,1.3120077848434448
57,1159,1.3083161115646362
58,1179,1.273787498474121
59,1199,1.2633885145187378
60,1219,1.2667077779769897
61,1239,1.2851455211639404
62,1259,1.3020128011703491
63,1279,1.2814538478851318
64,1299,1.2929785251617432
65,1319,1.2759884595870972
66,1339,1.281504511833191
67,1359,1.2722913026809692
68,1379,1.2789390087127686
69,1399,1.2407793998718262
70,1419,1.2642468214035034
71,1439,1.233951210975647
72,1459,1.2520802021026611
73,1479,1.2458289861679077
74,1499,1.2693626880645752
75,1519,1.2174972295761108
76,1539,1.246302843093872
77,1559,1.2314127683639526
78,1579,1.204066276550293
79,1599,1.2358227968215942
80,1619,1.2275338172912598
81,1639,1.3067718744277954
82,1659,1.217836856842041
83,1679,1.1967082023620605
84,1699,1.2409741878509521
85,1719,1.2079861164093018
86,1739,1.2159020900726318
87,1759,1.2342579364776611
88,1779,1.199220061302185
89,1799,1.1730573177337646
90,1819,1.202204704284668
91,1839,1.2049601078033447
92,1859,1.1912028789520264
93,1879,1.1687687635421753
94,1899,1.1638047695159912
95,1919,1.1936933994293213
96,1939,1.191035270690918
97,1959,1.161863088607788
98,1979,1.19366455078125
99,1999,1.1641714572906494
