epoch,step,train_loss
0,49,2.4177675247192383
1,99,1.9574798345565796
2,149,1.8479763269424438
3,199,1.7927230596542358
4,249,1.7660175561904907
5,299,1.7268970012664795
6,349,1.7188585996627808
7,399,1.6925592422485352
8,449,1.6662707328796387
9,499,1.6550097465515137
10,549,1.6404703855514526
11,599,1.6480220556259155
12,649,1.6205017566680908
13,699,1.612152099609375
14,749,1.5977288484573364
15,799,1.595668911933899
16,849,1.580923318862915
17,899,1.5603948831558228
18,949,1.5434155464172363
19,999,1.513587474822998
20,1049,1.5233415365219116
21,1099,1.499011516571045
22,1149,1.447351336479187
23,1199,1.4644683599472046
24,1249,1.4607887268066406
25,1299,1.4557081460952759
26,1349,1.4014701843261719
27,1399,1.4160239696502686
28,1449,1.4130330085754395
29,1499,1.3891633749008179
30,1549,1.3735203742980957
31,1599,1.345961093902588
32,1649,1.3431504964828491
33,1699,1.3331347703933716
34,1749,1.3404338359832764
35,1799,1.3184046745300293
36,1849,1.285292387008667
37,1899,1.3046280145645142
38,1949,1.2891956567764282
39,1999,1.301681399345398
40,2049,1.259948968887329
41,2099,1.2637666463851929
42,2149,1.2506183385849
43,2199,1.273598074913025
44,2249,1.2393935918807983
45,2299,1.2530399560928345
46,2349,1.2354925870895386
47,2399,1.244625210762024
48,2449,1.244033932685852
49,2499,1.232853651046753
50,2549,1.2223749160766602
51,2599,1.2384028434753418
52,2649,1.2168924808502197
53,2699,1.191035509109497
54,2749,1.2047920227050781
55,2799,1.1856489181518555
56,2849,1.2135308980941772
57,2899,1.1740401983261108
58,2949,1.1948641538619995
59,2999,1.1821200847625732
60,3049,1.1845335960388184
61,3099,1.1817653179168701
62,3149,1.1796042919158936
63,3199,1.1841223239898682
64,3249,1.1566201448440552
65,3299,1.1472111940383911
66,3349,1.1634037494659424
67,3399,1.164090871810913
68,3449,1.1492913961410522
69,3499,1.1688237190246582
70,3549,1.1321558952331543
71,3599,1.1847460269927979
72,3649,1.1197105646133423
73,3699,1.122719168663025
74,3749,1.1314401626586914
75,3799,1.1461055278778076
76,3849,1.1307049989700317
77,3899,1.1658093929290771
78,3949,1.125452995300293
79,3999,1.1361902952194214
80,4049,1.1117243766784668
81,4099,1.1373361349105835
82,4149,1.1478708982467651
83,4199,1.1293390989303589
84,4249,1.1161072254180908
85,4299,1.1090669631958008
86,4349,1.1165049076080322
87,4399,1.1220587491989136
88,4449,1.1430485248565674
89,4499,1.1014416217803955
90,4549,1.1114453077316284
91,4599,1.102675437927246
92,4649,1.0964226722717285
93,4699,1.0941534042358398
94,4749,1.1004146337509155
95,4799,1.0879451036453247
96,4849,1.117978572845459
97,4899,1.0869733095169067
98,4949,1.090312123298645
99,4999,1.093872308731079
